,MH63_germfree2,MH63_germfree3,MH63_microbiota1,MH63_microbiota3,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Product,funrice,,,,
LOC4342187,6109.485543,8087.958346,96806.82908,96930.09318,51983.59154,3.770487649,0.166510944,22.64408305,1.60E-113,6.69E-111,peroxidase 1-like,-,,,,
LOC107277569,113.979335,159.990847,3630.270419,3138.253672,1760.623568,4.62969652,0.205682051,22.50899626,3.39E-112,1.35E-109,putative copper transporter 5.2,-,,,,
LOC107280557,211.5379184,130.5188489,5028.732658,4720.966021,2522.938862,4.829841903,0.226262328,21.34620438,4.23E-101,1.38E-98,ervatamin-B,-,,,,
LOC9271269,59.88744722,53.68113946,1274.663942,1378.929644,691.7905432,4.544818551,0.214766338,21.16168947,2.15E-99,6.84E-97,aspartyl protease family protein At5g10770-like,-,,,,
LOC4329943,177.7304885,144.2022766,2336.119707,2136.322034,1198.593627,3.793718174,0.180355022,21.03472441,3.16E-98,9.88E-96,uncharacterized LOC4329943,-,,,,
LOC4346292,442.3943682,396.8194035,3094.957414,3184.10478,1779.568992,2.902794602,0.141587109,20.5018283,2.07E-93,6.07E-91,KDEL-tailed cysteine endopeptidase CEP1,OsSAG12-2,,,,
LOC4332925,608.5337379,435.7645439,7732.808413,7229.191494,4001.574547,3.839534738,0.188311003,20.38932761,2.08E-92,5.90E-90,peroxidase 2,-,,,,
LOC4330974,25.11409077,13.68342771,1758.394323,1432.422604,807.4036115,6.348174523,0.311354445,20.38889959,2.10E-92,5.90E-90,cytochrome c oxidase subunit 6b-2,-,,,,
LOC4327339,314.8920612,286.2994105,2616.958436,2442.845188,1415.248774,3.072088484,0.151418917,20.28867025,1.62E-91,4.50E-89,uncharacterized LOC4327339,-,,,,
LOC4343848,68.58078633,75.78513807,1192.131745,1188.732451,631.3075301,4.045304909,0.202933508,19.93413974,2.06E-88,5.38E-86,uncharacterized LOC4343848,OsB12D1,,,,
LOC4333818,127.502307,97.88913667,1905.118231,2305.291861,1108.950384,4.221208898,0.2125498,19.85985822,9.06E-88,2.29E-85,linoleate 9S-lipoxygenase 1-like,OsLOX3|LOX3,,,,
LOC4343452,9.659265681,5.26285681,2251.294949,1951.219409,1054.35912,8.120764459,0.411209232,19.7484974,8.26E-87,2.04E-84,uncharacterized LOC4343452,-,,,,
LOC4352143,3024.316085,2968.251241,12987.35833,13845.33668,8206.315585,2.162801626,0.111257673,19.43957271,3.57E-84,8.19E-82,sulfite oxidase,-,,,,
LOC4324664,179.6623417,141.0445625,1968.163659,1853.57353,1035.611023,3.57225601,0.185992309,19.20647166,3.27E-82,7.26E-80,transcription repressor MYB5,-,,,,
LOC4325972,510.9751545,333.6651218,6906.340156,6874.269947,3656.312595,4.026795388,0.21247067,18.95224117,4.23E-80,9.32E-78,LOB domain-containing protein 40,-,,,,
LOC9271490,326.48318,289.4571246,2185.956959,2202.551413,1251.112169,2.831935671,0.152313637,18.59279131,3.68E-77,7.86E-75,anti-sigma-I factor RsgI6,-,,,,
LOC4332928,50.22818154,25.26171269,1384.706873,1564.881363,756.2695324,5.278013445,0.285214436,18.50542181,1.87E-76,3.84E-74,peroxidase 2-like,-,,,,
LOC4349329,1205.476357,1104.147359,8179.857818,10304.61216,5198.523424,3.000617909,0.1644418,18.24729422,2.17E-74,4.39E-72,14 kDa proline-rich protein DC2.15-like,-,,,,
LOC4337101,392.1661866,350.5062636,4204.556961,3305.525309,2063.18868,3.337025265,0.182944198,18.24067287,2.45E-74,4.92E-72,anthocyanidin reductase ((2S)-flavan-3-ol-forming),-,,,,
LOC4324249,52.16003468,32.62971222,1345.733335,1824.704313,813.8068487,5.21879341,0.287528158,18.15054725,1.27E-73,2.46E-71,high-affinity nitrate transporter 2.3-like,OsNRT2.3,,,,
LOC4329742,30.90965018,17.89371315,928.4872243,996.8370699,493.5319144,5.291279106,0.291932484,18.12500971,2.02E-73,3.88E-71,sugar transport protein MST1-like,-,,,,
LOC4336283,30.90965018,35.78742631,1180.668939,1738.945757,746.5779434,5.455335538,0.3012672,18.10796377,2.76E-73,5.24E-71,2-alkenal reductase (NADP(+)-dependent),-,,,,
LOC4350947,1908.670899,2096.722153,9915.326531,11129.93212,6262.662926,2.393789877,0.13296003,18.00383071,1.82E-72,3.37E-70,glycine-rich domain-containing protein 1%2C transcript variant X1,OsGRDP1|LSL1,,,,
LOC4333610,1078.939977,993.6273658,6411.14697,7743.742826,4056.864284,2.77185913,0.15410191,17.98718213,2.46E-72,4.51E-70,dehydrin HIRD11,OsLIP5,,,,
LOC4332922,275.2890719,156.8331329,4514.052703,5140.418758,2521.648416,4.479433926,0.255734436,17.51595915,1.08E-68,1.85E-66,peroxidase 2,-,,,,
LOC4324697,48.2963284,84.20570896,1733.176152,1477.424618,835.7757019,4.604511131,0.268061321,17.17708142,3.94E-66,6.35E-64,probable sulfate transporter 3.5,-,,,,
LOC4347336,241.481642,218.9348433,1562.380354,1569.126836,897.9809188,2.764954863,0.161862047,17.0821691,2.01E-65,3.20E-63,peroxidase 17,-,,,,
LOC4332934,283.0164844,271.5634114,1777.881092,1676.112756,1002.143436,2.638077366,0.155031616,17.01638307,6.21E-65,9.79E-63,protein DMP2,-,,,,
LOC4326501,832.6287017,497.8662542,11208.33096,10697.74297,5809.142221,4.040433698,0.238080231,16.9708912,1.35E-64,2.10E-62,ervatamin-B,-,,,,
LOC4331665,354.4950505,325.2445509,1928.043841,2009.806937,1154.397595,2.533935702,0.150486099,16.8383373,1.28E-63,1.95E-61,expansin-A12,-,,,,
LOC4344259,560.2374095,590.4925341,3049.106193,3513.553488,1928.347406,2.512438105,0.149911641,16.7594597,4.83E-63,7.21E-61,uncharacterized LOC4344259%2C transcript variant X2,OsHIGD2,,,,
LOC4349348,1111.78148,986.2593662,4825.841005,5102.2095,3006.522838,2.24221927,0.134399188,16.68327992,1.73E-62,2.55E-60,expansin-B2-like,OsEXPB2,,,,
LOC9269115,20.28445793,19.99885588,851.6864292,1254.112736,536.5206198,5.708993976,0.342261126,16.68022907,1.83E-62,2.67E-60,potassium transporter 21,OsHAK21|qSE3,,,,
LOC4340665,549.6122172,514.707396,2608.934472,2846.165126,1629.854803,2.357687927,0.14275264,16.51589718,2.82E-61,4.04E-59,probable peroxygenase 4,-,,,,
LOC4344290,638.4774615,717.8536689,3417.062241,3809.887507,2145.82022,2.414490356,0.147722894,16.34472684,4.74E-60,6.72E-58,alpha-galactosidase 3,-,,,,
LOC4340403,184.4919745,228.4079856,1615.109258,1561.484984,897.3735506,2.94525277,0.181078723,16.26504055,1.75E-59,2.46E-57,glycine-rich cell wall structural protein 2-like,-,,,,
LOC4347520,264.6638797,285.2468391,1548.624988,1665.923621,941.1148319,2.548404932,0.160696107,15.85853557,1.23E-56,1.61E-54,peroxidase 73,-,,,,
LOC4336614,798.8212718,563.1256787,6662.182404,8688.785125,4178.22862,3.494090556,0.220775322,15.82645434,2.04E-56,2.67E-54,14 kDa proline-rich protein DC2.15,OsR3L1,,,,
LOC9269817,17.38667823,13.68342771,738.2046573,1103.822991,468.2744385,5.886109152,0.373680109,15.7517326,6.68E-56,8.64E-54,salt stress-induced protein,-,,,,
LOC4342528,342.9039317,281.0365537,4577.098131,3114.479023,2078.87941,3.622636355,0.231812598,15.62743522,4.73E-55,5.98E-53,non-specific lipid transfer protein GPI-anchored 2,-,,,,
LOC4331501,48.2963284,26.31428405,947.9739932,847.3964189,467.4952561,4.579279033,0.293491181,15.60278238,6.97E-55,8.75E-53,defensin-like protein,OsDEF8,,,,
LOC4326202,530.2936859,578.9142491,2835.898016,2568.51119,1628.404285,2.284645422,0.146994778,15.54235767,1.79E-54,2.23E-52,uncharacterized LOC4326202,-,,,,
LOC4329036,750.5249434,662.0673867,3139.662355,3226.559511,1944.703549,2.171640989,0.140023798,15.50908501,3.01E-54,3.70E-52,salt stress root protein RS1-like,-,,,,
LOC4339804,138.1274992,145.254848,1005.288019,1058.820976,586.8728357,2.865671081,0.184780098,15.50854837,3.04E-54,3.71E-52,vacuolar-processing enzyme,OsVPE4,,,,
LOC107276463,51.19410811,55.78628219,1218.496197,856.7364596,545.5532617,4.277663648,0.277903895,15.39260057,1.84E-53,2.18E-51,uncharacterized LOC107276463,ALEX1,,,,
LOC4333118,47.33040184,58.94399627,1467.23907,967.1187587,635.1580568,4.519099308,0.294874386,15.32550647,5.17E-53,6.04E-51,cytochrome P450 78A5,GL3.2,,,,
LOC4344050,62.78522692,50.52342538,717.5716079,708.9939978,384.9685645,3.650796981,0.239562079,15.2394611,1.93E-52,2.23E-50,peroxidase 2-like,-,,,,
LOC4342055,109.1497022,169.4639893,1608.231575,1638.752594,881.399465,3.546117646,0.233512421,15.18599152,4.38E-52,5.02E-50,alpha-amylase isozyme 2A-like,-,,,,
LOC4329550,159.3778837,230.5131283,2472.52709,1957.163072,1204.895293,3.50763112,0.234477677,14.95933924,1.35E-50,1.52E-48,uncharacterized LOC4329550,-,,,,
LOC9267513,190.2875339,198.9359874,1423.680411,1215.903479,757.2018527,2.761127356,0.185581325,14.87826081,4.56E-50,5.02E-48,proline-rich receptor-like protein kinase PERK2,-,,,,
LOC9267617,536.0892453,425.2388303,2753.365818,2694.177192,1602.217771,2.501408789,0.168754843,14.82273776,1.04E-49,1.14E-47,cytosolic sulfotransferase 5,-,,,,
LOC4346934,24.1481642,37.89256903,698.084839,985.79884,436.4811031,4.770340056,0.327154574,14.58130324,3.69E-48,3.91E-46,ervatamin-C,-,,,,
LOC9269764,170.003076,245.2491274,1946.384329,1739.794852,1025.357846,3.151927005,0.218738388,14.40957409,4.50E-47,4.66E-45,anti-sigma-I factor RsgI6,-,,,,
LOC4334753,18.35260479,12.63085634,1272.371381,697.9557679,500.3276526,5.983184038,0.417916286,14.31670465,1.72E-46,1.76E-44,probable thiol methyltransferase 2,OsHOL1,,,,
LOC4325983,341.9380051,261.0376978,1891.362864,1917.255625,1102.898548,2.657608959,0.186170413,14.27514131,3.13E-46,3.17E-44,multicopper oxidase LPR1 homolog 4-like%2C transcript variant X2,-,,,,
LOC4336911,1389.968331,1677.798751,7662.885302,6758.793081,4372.361366,2.233133643,0.156842172,14.23809431,5.32E-46,5.35E-44,plant intracellular Ras-group-related LRR protein 1-like,-,,,,
LOC4326499,294.6076033,166.3062752,3180.928454,2934.470966,1644.078324,3.727633458,0.261936839,14.23103934,5.88E-46,5.89E-44,ervatamin-B,-,,,,
LOC4338846,256.9364671,436.8171152,4931.298813,3977.159144,2400.552885,3.683891266,0.26078406,14.12621334,2.62E-45,2.61E-43,copper transporter 2-like,COPT5,,,,
LOC4330552,931.1532116,868.3713737,3289.825103,3634.974017,2181.080926,1.94425697,0.137716476,14.11782395,2.95E-45,2.93E-43,aspartyl protease family protein At5g10770,-,,,,
LOC4335768,89.83117083,83.1531376,852.8327097,1168.354181,548.5427997,3.547025343,0.252047792,14.07282848,5.58E-45,5.51E-43,uncharacterized LOC4335768,-,,,,
LOC4332911,512.9070076,599.9656764,2518.378311,2832.579613,1615.957652,2.266571681,0.161400135,14.04318331,8.48E-45,8.34E-43,GDSL esterase/lipase At1g31550,-,,,,
LOC4348082,227.9586701,206.303987,1216.203636,1141.183153,697.9123615,2.439225305,0.174422793,13.98455592,1.94E-44,1.88E-42,arf-GAP with SH3 domain%2C ANK repeat and PH domain-containing protein 2,-,,,,
LOC4336181,167.1052963,129.4662775,1091.259059,1317.794832,676.4063661,3.020812808,0.22098979,13.66946778,1.55E-42,1.43E-40,glycosyl hydrolase 5 family protein%2C transcript variant X1,-,,,,
LOC112936042,2143.391055,1866.209025,7323.586266,8309.239835,4910.606545,1.963013384,0.144897964,13.54755666,8.19E-42,7.43E-40,alpha-L-arabinofuranosidase 1-like,-,,,,
LOC4336071,205.742359,176.8319888,1077.503692,1054.575503,628.6633859,2.476946355,0.183198536,13.52055755,1.18E-41,1.06E-39,probable inactive receptor kinase RLK902,-,,,,
LOC4339257,102.3882162,154.7279902,1574.98944,2482.752634,1078.71457,3.982991145,0.294629551,13.51864108,1.21E-41,1.09E-39,GDSL esterase/lipase At5g45910,-,,,,
LOC4344199,661.6596991,619.9645322,3143.101196,4155.469012,2145.04861,2.509967414,0.185848711,13.50543352,1.45E-41,1.29E-39,momilactone A synthase-like,-,,,,
LOC4336400,123.6386007,152.6228475,944.5351516,1102.973896,580.9426239,2.892504841,0.214311456,13.49673458,1.63E-41,1.44E-39,protein CUP-SHAPED COTYLEDON 1,-,,,,
LOC4331637,3075.510193,3608.214629,11598.06634,12149.69475,7607.871477,1.829281877,0.135671529,13.48316692,1.96E-41,1.73E-39,inorganic phosphate transporter 1-2-like,OsPht1;2|OsPT2,,,,
LOC4336602,14.48889852,17.89371315,421.8312328,529.8350355,246.01222,4.88305506,0.363226627,13.44354927,3.36E-41,2.92E-39,expansin-B5,OsEXPB5,,,,
LOC4338093,932.1191382,813.6376629,3752.922435,3350.527324,2212.30164,2.023911473,0.150571677,13.44151513,3.45E-41,2.99E-39,GDSL esterase/lipase At1g28580,MHZ11,,,,
LOC4329652,336.1424457,235.7759851,1937.214085,2149.058453,1164.547742,2.835525086,0.212568079,13.33937391,1.37E-40,1.15E-38,protein disulfide isomerase-like 1-3,-,,,,
LOC4341258,281.0846313,298.9302668,1280.395345,1260.056398,780.1166604,2.131286026,0.159978842,13.32229939,1.72E-40,1.44E-38,berberine bridge enzyme-like 22,-,,,,
LOC4346628,1019.052529,1006.258222,4627.534475,3806.491128,2614.834089,2.057604565,0.155411386,13.23972859,5.17E-40,4.29E-38,ethylene-responsive transcription factor 1-like,Sub1C,,,,
LOC4330031,493.5884763,502.0765397,1953.262013,2279.819023,1307.186513,2.088745835,0.158960713,13.14001298,1.94E-39,1.58E-37,phosphoenolpyruvate carboxylase kinase 2,-,,,,
LOC4344049,40.56891586,23.15656996,541.0444072,643.613713,312.0959015,4.20910197,0.320657835,13.12645914,2.32E-39,1.88E-37,peroxidase 2,-,,,,
LOC4340558,765.0138419,648.383959,2854.238504,3226.559511,1873.548954,2.104894616,0.160901509,13.08188235,4.18E-39,3.35E-37,aquaporin NIP2-2-like,Lsi6,,,,
LOC4326500,1537.755096,867.3188023,12711.10473,11919.59011,6758.942184,3.355834056,0.256596247,13.0782663,4.38E-39,3.51E-37,ervatamin-B,-,,,,
LOC107277279,138.1274992,111.5725644,828.7608187,932.3058797,502.6916905,2.816882935,0.215827197,13.05156615,6.23E-39,4.91E-37,disease resistance protein RGA5-like%2C transcript variant X1,-,,,,
LOC4350486,116.8771147,93.67885122,868.880637,758.2414851,459.419522,2.946901762,0.226286261,13.02289299,9.07E-39,7.12E-37,putative receptor-like protein kinase At4g00960,-,,,,
LOC4341942,1209.340063,1104.147359,4021.152077,3721.581667,2514.055292,1.742239734,0.133795858,13.02162678,9.22E-39,7.22E-37,xyloglucan endotransglucosylase/hydrolase protein 24,-,,,,
LOC4348776,2167.539219,1824.10617,7124.133455,7759.875624,4718.913617,1.898571871,0.146037008,13.00062149,1.21E-38,9.43E-37,glycine-rich cell wall structural protein 1.0-like,-,,,,
LOC4337484,797.8553452,882.0548014,3128.199549,3685.919694,2123.507347,2.020902886,0.156556755,12.90843623,4.03E-38,3.10E-36,cationic peroxidase SPC4,-,,,,
LOC4333924,363.1883896,364.1896913,1385.853153,1419.686185,883.2293547,1.947706252,0.150999477,12.89876157,4.57E-38,3.49E-36,65-kDa microtubule-associated protein 6,-,,,,
LOC4328060,1089.565169,1057.834219,3156.856563,3272.41062,2144.166642,1.582122096,0.123558665,12.80462277,1.54E-37,1.16E-35,serine carboxypeptidase 3-like,-,,,,
LOC9271816,271.4253656,192.6205593,1691.910053,1498.651983,913.6519903,2.779216877,0.217131255,12.79970896,1.65E-37,1.23E-35,zinc transporter 10%2C transcript variant X2,-,,,,
LOC4335226,3774.841028,3868.199756,10402.49575,11499.28828,7386.206204,1.519003607,0.119382306,12.72385883,4.36E-37,3.19E-35,probable aquaporin PIP2-6,OsPIP2;6,,,,
LOC4336915,457.8491933,395.7668321,2121.76525,1818.760651,1198.535481,2.205419571,0.173531123,12.70907223,5.27E-37,3.83E-35,phenolic glucoside malonyltransferase 1,-,,,,
LOC4345471,87.89931769,107.3622789,677.4517896,697.1066733,392.4550149,2.817989328,0.222208301,12.68174641,7.46E-37,5.39E-35,sulfite exporter TauE/SafE family protein 3%2C transcript variant X2,-,,,,
LOC4340724,874.1635441,813.6376629,3145.393757,2802.861301,1909.014066,1.816623858,0.143322443,12.67508299,8.13E-37,5.85E-35,potassium transporter 24%2C transcript variant X1,-,,,,
LOC9267450,327.4491066,272.6159828,2036.940491,3108.53536,1436.385235,3.100120065,0.24562319,12.62144697,1.61E-36,1.15E-34,peroxidase 1-like%2C transcript variant X6,-,,,,
LOC4337453,509.0433014,370.5051194,2691.46667,2388.503133,1489.879556,2.528609646,0.200657312,12.60163224,2.07E-36,1.46E-34,casparian strip membrane protein 1-like,-,,,,
LOC9271479,278.1868516,246.3016987,1375.536629,1796.684191,924.1773424,2.596799768,0.207625021,12.50716199,6.82E-36,4.75E-34,uncharacterized LOC9271479,-,,,,
LOC4335882,2673.68474,2555.643267,8128.275194,7303.062724,5165.166482,1.560894224,0.125124178,12.47476107,1.03E-35,7.10E-34,uncharacterized LOC4335882,-,,,,
LOC4336026,68.58078633,89.46856577,617.8452023,647.859186,355.9384351,3.004978645,0.241125594,12.46229651,1.20E-35,8.28E-34,PLAT domain-containing protein 3,-,,,,
LOC4344276,7285.984103,5962.816766,23089.52859,25536.52034,15468.71245,1.87582278,0.150928508,12.42855179,1.83E-35,1.26E-33,peroxidase 70,-,,,,
LOC4326796,49.26225497,58.94399627,484.8766616,541.72236,283.7013182,3.249453686,0.262297309,12.38843701,3.02E-35,2.05E-33,probable leucine-rich repeat receptor-like protein kinase At5g49770,-,,,,
LOC112937323,242.4475686,202.0937015,1248.29949,1097.030234,697.4677485,2.397391139,0.19377325,12.37214702,3.70E-35,2.50E-33,disease resistance protein RGA2-like,-,,,,
LOC4332041,366.0861693,364.1896913,1327.392847,1394.213347,862.9705134,1.898284207,0.153469497,12.36913032,3.84E-35,2.59E-33,beta-glucosidase 6-like%2C transcript variant X1,Os3BGlu6,,,,
LOC107276110,43.46669556,24.20914133,562.8237372,505.2112918,283.9277165,3.97135669,0.321187699,12.3645977,4.06E-35,2.73E-33,casparian strip membrane protein 2,OsCASP2,,,,
LOC4330226,17816.51555,15547.53159,50366.41993,56685.55604,35104.00578,1.681943395,0.136564094,12.31614655,7.42E-35,4.94E-33,14 kDa proline-rich protein DC2.15,RCc3,,,,
LOC4332572,845.1857471,872.5816591,2591.740264,2518.414608,1706.98057,1.572811998,0.128282775,12.26050805,1.48E-34,9.75E-33,probable galacturonosyltransferase-like 7,-,,,,
LOC107281276,103.3541428,78.94285215,918.1706996,712.3903762,453.2145177,3.157291814,0.257833559,12.24546498,1.78E-34,1.16E-32,polygalacturonase At1g48100-like,-,,,,
LOC112936075,584.3855737,573.6513923,1835.195119,1964.804923,1239.509252,1.714647032,0.141542945,12.11397029,8.91E-34,5.69E-32,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A-like,-,,,,
LOC4343965,654.8982132,588.3873914,2075.914029,2067.545371,1346.686251,1.73614116,0.143382574,12.10845299,9.53E-34,6.05E-32,non-specific lipid transfer protein-like 1,-,,,,
LOC4331437,1436.332807,1411.498196,3822.845547,4052.728565,2680.851279,1.467701569,0.121237305,12.10602268,9.81E-34,6.22E-32,peroxidase 5,-,,,,
LOC4339119,275.2890719,273.6685541,1067.187168,1106.370274,680.628767,1.985551507,0.164277712,12.08655442,1.24E-33,7.86E-32,probable inactive receptor kinase At5g58300,-,,,,
LOC4333991,47.33040184,62.10171036,827.6145382,570.5915767,376.9095568,3.676813249,0.305131895,12.04991449,1.94E-33,1.21E-31,uncharacterized LOC4333991,-,,,,
LOC4348334,567.964822,710.4856694,3736.874508,2915.790884,1982.778971,2.379658651,0.198326795,11.99867446,3.61E-33,2.24E-31,nodulin-related protein 1,-,,,,
LOC4349097,644.2730209,679.9610999,3183.221015,2509.923662,1754.344699,2.103606798,0.175658084,11.97557637,4.77E-33,2.95E-31,cytochrome P450 84A1,OsCAld5H1|CYP84A5,,,,
LOC4333264,214.4356981,152.6228475,1107.306986,1176.845127,662.8026646,2.635622772,0.220732543,11.94034527,7.29E-33,4.47E-31,cysteine-rich repeat secretory protein 38,-,,,,
LOC4343080,126.5363804,91.5737085,745.0823405,775.2233772,434.6039516,2.798483212,0.235275143,11.89451283,1.26E-32,7.68E-31,tryptophan decarboxylase 2-like,TDC2,,,,
LOC4339222,2775.10703,2107.247867,10972.19717,9791.759021,6411.577773,2.088119116,0.17578481,11.87883707,1.52E-32,9.19E-31,peroxidase 1-like,-,,,,
LOC4349014,123.6386007,107.3622789,657.9650207,668.2374566,389.3008392,2.519962824,0.212263676,11.87185142,1.66E-32,9.93E-31,epoxide hydrolase B%2C transcript variant X3,-,,,,
LOC4341576,122.6726741,69.46970989,1437.435777,1029.102665,664.6702065,3.678028423,0.310141397,11.8591986,1.93E-32,1.15E-30,leucoanthocyanidin dioxygenase 2-like,-,,,,
LOC4330420,419.2121305,406.2925457,1388.145714,1435.818982,912.3673432,1.774428958,0.149796105,11.84562812,2.27E-32,1.35E-30,probable WRKY transcription factor 14,-,,,,
LOC4333095,514.8388608,490.4982547,1618.5481,1648.092634,1067.994462,1.699973578,0.143567472,11.84093833,2.40E-32,1.42E-30,uncharacterized LOC4333095,-,,,,
LOC4343462,503.247742,432.6068298,1795.0753,1696.491027,1106.855225,1.898452333,0.160383026,11.83699037,2.51E-32,1.49E-30,aspartic proteinase nepenthesin-1,-,,,,
LOC4344046,30291.45717,30934.01976,76217.33831,85806.10472,55812.22999,1.404024982,0.118680639,11.83027827,2.72E-32,1.60E-30,1-Cys peroxiredoxin B-like,Os1-CysPrxB,,,,
LOC4340159,435.6328822,561.020536,2816.411247,2288.309969,1525.343658,2.356985533,0.199487595,11.81519851,3.26E-32,1.91E-30,pentatricopeptide repeat-containing protein At5g39710,-,,,,
LOC4339688,82.10375829,74.73256671,524.9964799,533.2314139,303.7660547,2.753289295,0.233350019,11.79896752,3.95E-32,2.29E-30,forkhead box protein L2,OsCV,,,,
LOC4337839,112.0474819,93.67885122,684.3294727,620.6881585,377.6859911,2.662596901,0.225981059,11.7823897,4.81E-32,2.79E-30,uncharacterized LOC4337839,-,,,,
LOC4326319,14751.63055,15032.82419,42218.65797,51022.9441,30756.5142,1.646464915,0.139791714,11.7779865,5.07E-32,2.92E-30,persulfide dioxygenase ETHE1 homolog%2C mitochondrial,OsGLYII1|OsETHE1,,,,
LOC4325127,261.7660999,198.9359874,1381.268031,1190.430641,758.1001898,2.478591902,0.211049336,11.74413501,7.57E-32,4.33E-30,peroxidase 9,-,,,,
LOC4336242,283.982411,347.3485495,1331.977969,1466.386388,857.4238293,2.149749486,0.183527565,11.7134965,1.09E-31,6.17E-30,PTI1-like tyrosine-protein kinase 3,-,,,,
LOC4349269,190.2875339,264.1954119,1970.45622,1436.668077,965.4018108,2.906963706,0.248321656,11.70644458,1.18E-31,6.67E-30,protein STRICTOSIDINE SYNTHASE-LIKE 5,-,,,,
LOC4347173,3420.345978,3038.773522,9355.941635,8809.356559,6156.104424,1.491539224,0.1275362,11.69502637,1.35E-31,7.59E-30,copper transporter 5.1-like,-,,,,
LOC4340088,993.9384385,868.3713737,2908.113689,3115.328117,1971.437905,1.693314733,0.144860489,11.68927942,1.45E-31,8.10E-30,putative cytochrome c oxidase subunit 5b-like,-,,,,
