"XM_015766610.2","LOC4326813"
"XM_015766866.2","LOC4326451"
"XM_015766867.2","LOC4326451"
"XM_015766865.2","LOC4326451"
"XM_015762039.2","LOC4326452"
"XM_015762016.2","LOC4326452"
"XM_015762021.2","LOC4326452"
"XM_015762068.1","LOC4326291"
"XM_015762059.1","LOC4326291"
"XM_015762080.2","LOC4326292"
"XM_015762087.2","LOC4326292"
"XM_015765518.2","LOC4326293"
"XM_015765520.2","LOC4326294"
"XM_015765519.2","LOC4326295"
"XM_015766622.2","LOC4326296"
"XM_015766621.2","LOC4326296"
"XM_015766675.2","LOC4326297"
"XM_015766674.2","LOC4326297"
"XM_026020295.1","LOC4326297"
"XM_015766677.2","LOC4326297"
"XM_015765509.2","LOC4326298"
"XM_026022517.1","LOC112937634"
"XR_001542552.2","LOC4326300"
"XR_001542554.2","LOC4326300"
"XR_001542551.2","LOC4326300"
"XM_015766374.2","LOC4326300"
"XM_015771714.2","LOC4326301"
"XR_001543865.2","LOC107280189"
"XM_015771726.1","LOC9272545"
"XM_015766539.2","LOC4326303"
"XM_015766413.2","LOC4326147"
"XM_015766411.2","LOC4326148"
"XM_015766160.2","LOC4326149"
"XM_015766162.2","LOC9270828"
"XM_015766161.2","LOC4326150"
"XR_001541003.2","LOC4326151"
"XM_026020540.1","LOC4326151"
"XM_015759924.2","LOC4326151"
"XM_015759931.2","LOC4326151"
"XM_026020529.1","LOC4326151"
"XM_015759946.2","LOC4326151"
"XM_015763294.1","LOC4326152"
"XM_015763282.1","LOC4326153"
"XM_015790282.2","LOC9268894"
"XM_015790214.2","LOC9268894"
"XM_015768406.2","LOC9271125"
"XR_001544408.1","LOC107280387"
"XR_001544407.1","LOC107280385"
"XM_015789852.2","LOC107281500"
"XM_026020792.1","LOC4326157"
"XM_015774847.2","LOC4326157"
"unassigned_transcript_3","TRNAE-CUC"
"XR_001547790.2","LOC4326159"
"XM_015792146.2","LOC4326159"
"XM_015792262.2","LOC4326160"
"XM_026020838.1","LOC4326160"
"XM_015792237.2","LOC4326160"
"XM_015792186.2","LOC4326160"
"XM_026020826.1","LOC4326160"
"XM_026020853.1","LOC4326160"
"XM_015792245.2","LOC4326160"
"XM_015792211.2","LOC4326160"
"XM_015792229.2","LOC4326160"
"XM_015792254.2","LOC4326160"
"XM_026020933.1","LOC4326160"
"XR_001547810.2","LOC107281800"
"XR_001547813.2","LOC107281800"
"XR_001547811.2","LOC107281800"
"XM_015792326.2","LOC107281800"
"XM_015792274.1","LOC4326161"
"XM_015792279.1","LOC4326161"
"XM_015792304.2","LOC4326162"
"XM_015792313.2","LOC4326162"
"XM_015792289.2","LOC4326162"
"XM_015792296.2","LOC4326162"
"XM_015779958.2","LOC9267649"
"XM_015767462.2","LOC4326163"
"XM_015792575.2","LOC4326164"
"XM_015776879.2","LOC9268327"
"XM_015766350.2","LOC9272141"
"XM_015766351.2","LOC9272141"
"XR_001544927.2","LOC4326132"
"XM_015778163.2","LOC4326132"
"XM_015778170.2","LOC4326132"
"XM_015778181.2","LOC4326132"
"XM_015758013.2","LOC4326133"
"XM_015770539.2","LOC9266108"
"XM_015770549.2","LOC9266108"
"XR_003239380.1","LOC112936901"
"XM_015767885.1","LOC9270401"
"XM_026021336.1","LOC9270401"
"XM_015767895.2","LOC4326135"
"XM_015765825.2","LOC4326136"
"XM_015765826.2","LOC4326137"
"XM_015774359.2","LOC4326138"
"XM_015779247.2","LOC4326139"
"XM_015779252.2","LOC4326139"
"XM_015779257.2","LOC4326139"
"XM_015780672.1","LOC107275897"
"XM_015778646.2","LOC4326140"
"XM_015765715.2","LOC4326141"
"XM_015766258.2","LOC9269164"
"XR_001542523.2","LOC107279864"
"XM_015788212.2","LOC4326144"
"XM_015779388.2","LOC4326145"
"XM_015779924.2","LOC4326146"
"XM_015774310.2","LOC4326114"
"XM_015766899.2","LOC9271945"
"XM_015787084.2","LOC4326116"
"XR_003239553.1","LOC4326117"
"XR_003239536.1","LOC4326117"
"XM_026021638.1","LOC4326117"
"XM_026021616.1","LOC4326117"
"XM_015765450.2","LOC4326117"
"XM_015768590.2","LOC4326118"
"XM_015790499.2","LOC4326119"
"XM_015766031.2","LOC9266830"
"XR_001547831.2","LOC107281806"
"XR_001547580.2","LOC107278096"
"XM_026021915.1","LOC4326122"
"XM_026022066.1","LOC4326123"
"XM_026022080.1","LOC4326123"
"XM_026022089.1","LOC4326123"
"XR_001539762.2","LOC107278804"
"XR_003240054.1","LOC107278804"
"XR_003240029.1","LOC107278804"
"XR_003240062.1","LOC107278804"
"XR_003240058.1","LOC107278804"
"XR_003240023.1","LOC112937438"
"XM_015755493.2","LOC4326124"
"XM_015755441.2","LOC4326125"
"XM_015755450.2","LOC4326125"
"XM_026021990.1","LOC9271284"
"XM_015755464.2","LOC4326127"
"XM_015755472.2","LOC9269575"
"XM_015765753.2","LOC107276333"
"XM_015765754.2","LOC4326102"
"XR_001542428.2","LOC107278390"
"XM_015795809.2","LOC4326104"
"XM_015795800.2","LOC4326104"
"XM_026022280.1","LOC112937494"
"XM_026022263.1","LOC4326106"
"XR_003240203.1","LOC107282088"
"XR_003240164.1","LOC107282088"
"XR_003240174.1","LOC107282088"
"XM_015795857.2","LOC4326109"
"XM_026022320.1","LOC4326109"
"XM_015795864.2","LOC4326109"
"XM_026022327.1","LOC4326110"
"XR_001548601.2","LOC4326111"
"XR_001548600.2","LOC4326111"
"XR_003240214.1","LOC4326111"
"XM_026022323.1","LOC112937592"
"XR_003240226.1","LOC9271150"
"XR_003240227.1","LOC4326113"
"XM_015768179.2","LOC107277277"
"XM_015767943.2","LOC4326086"
"XR_001541360.2","LOC107279476"
"XR_003240229.1","LOC107279476"
"XR_003240228.1","LOC107279476"
"XR_001541354.2","LOC107279476"
"XM_015761212.2","LOC4326087"
"XM_015761052.2","LOC9270126"
"XR_001542487.2","LOC4326088"
"XM_015766028.2","LOC4326089"
"XM_026024810.1","LOC4326090"
"XM_026024815.1","LOC112938691"
"XM_015791347.2","LOC4326092"
"XM_015791399.2","LOC9272259"
"XR_001547653.2","LOC107281768"
"XR_001547656.2","LOC107281768"
"XR_001547651.2","LOC107281768"
"XM_015791383.2","LOC4326093"
"XM_015791390.2","LOC4326093"
"XR_003240241.1","LOC107281770"
"XM_015791363.2","LOC4326095"
"XM_015791354.2","LOC4326095"
"XM_015791371.2","LOC4326095"
"XM_015791418.2","LOC107277517"
"XM_015791410.2","LOC107277517"
"XM_026022357.1","LOC4326096"
"XM_026022356.1","LOC4326096"
"XR_001547665.2","LOC107281771"
"XM_026022370.1","LOC4326097"
"XM_026022361.1","LOC4326098"
"XM_015764281.2","LOC4326099"
"XM_015787741.2","LOC4326068"
"XM_015787765.1","LOC4326069"
"XM_015787734.2","LOC4326070"
"XM_015787749.2","LOC4326071"
"XM_015787724.2","LOC9271324"
"XM_015787787.2","LOC4326073"
"XM_015787774.2","LOC4326074"
"XM_015787702.2","LOC4326075"
"XR_001543799.2","LOC4326076"
"XM_015771383.2","LOC4326076"
"XM_015771352.2","LOC4326076"
"XM_015771375.2","LOC4326076"
"XM_026022389.1","LOC4326076"
"XM_015766824.2","LOC4326077"
"XM_015766822.2","LOC4326077"
"XM_026022395.1","LOC4326078"
"XM_015772829.2","LOC4326078"
"XM_015772836.2","LOC4326078"
"XM_015766377.2","LOC4326079"
"XM_015767364.2","LOC4326082"
"XM_026022405.1","LOC4326083"
"XM_015766606.2","LOC4326083"
"XM_015766605.2","LOC4326083"
"XM_026022406.1","LOC4326083"
"XM_015780711.2","LOC107280783"
"XM_015766484.2","LOC4326084"
"XR_003240259.1","LOC107276570"
"XR_003240258.1","LOC107276570"
"XR_003240256.1","LOC107276570"
"XM_026022416.1","LOC107276570"
"XR_001547406.1","LOC4326032"
"XM_015765751.2","LOC4326033"
"XM_015765752.1","LOC4326034"
"XM_015767855.1","LOC4326035"
"XM_015785471.2","LOC9268813"
"XM_015785418.2","LOC4326037"
"XM_015785410.2","LOC4326037"
"XM_015785361.2","LOC4326038"
"XM_015785481.2","LOC9268597"
"XM_015785376.1","LOC4326040"
"XM_015785437.2","LOC4326041"
"XM_015785458.2","LOC4326041"
"XM_015785453.2","LOC4326041"
"XM_015785432.2","LOC4326041"
"XM_015785373.2","LOC4326042"
"XM_015785492.2","LOC4326043"
"XM_026022450.1","LOC4326043"
"XM_026022448.1","LOC4326043"
"XM_026022452.1","LOC4326043"
"XM_026022451.1","LOC4326043"
"XM_015785505.2","LOC4326044"
"XM_015785372.2","LOC4326045"
"XM_015785375.2","LOC9272685"
"XM_015780735.1","LOC9268150"
"XM_026022434.1","LOC112937615"
"XM_015785398.2","LOC4326047"
"XM_015785381.2","LOC4326048"
"XM_026026994.1","LOC4326049"
"XR_003240363.1","LOC112937703"
"XM_015780753.2","LOC107280785"
"XM_015791235.2","LOC107275721"
"XM_015766650.2","LOC107276545"
"XM_015780775.1","LOC107275768"
"XM_015766651.2","LOC4325998"
"XM_015766652.1","LOC4325999"
"XM_015758023.2","LOC4326000"
"XM_015758034.2","LOC9268662"
"XM_015766540.2","LOC9271230"
"XM_015785932.2","LOC107275782"
"XM_015785899.2","LOC107275782"
"XM_015785916.2","LOC107275782"
"XM_015785925.2","LOC107275782"
"XM_015785908.2","LOC107275782"
"XM_015780788.2","LOC107277069"
"XM_015779087.1","LOC9267088"
"XM_015780799.1","LOC107278743"
"XM_015780810.1","LOC107276150"
"XM_026022475.1","LOC107276602"
"XM_015780837.2","LOC107275945"
"XM_026022483.1","LOC9271781"
"XM_026022482.1","LOC9271781"
"XM_026022479.1","LOC9271781"
"XM_026022481.1","LOC9271781"
"XM_026022485.1","LOC9271781"
"XM_026022478.1","LOC9271781"
"XM_015765684.1","LOC4326005"
"XM_015766396.2","LOC4326007"
"XM_015764668.2","LOC4326008"
"XM_015764636.2","LOC4326008"
"XM_015764654.2","LOC4326008"
"XM_015764661.2","LOC4326008"
"XM_015764646.2","LOC4326008"
"XM_015770470.2","LOC4326010"
"XM_015766542.2","LOC4326011"
"XM_015766541.2","LOC4326011"
"XM_015766543.2","LOC4325982"
"XM_015773918.2","LOC4325983"
"XM_015773912.2","LOC4325983"
"XM_015778754.2","LOC4325984"
"XM_015786111.1","LOC9267869"
"XM_015766100.2","LOC4325986"
"XR_003240313.1","LOC4325987"
"XM_026022499.1","LOC4325987"
"XM_026022502.1","LOC4325988"
"XM_015765903.2","LOC4325989"
"XM_015773408.2","LOC4325990"
"XM_015768677.2","LOC4325991"
"XM_015768672.2","LOC4325991"
"XM_015778204.2","LOC4325992"
"XM_015778198.2","LOC4325992"
"XM_015759003.2","LOC4325993"
"XM_015758992.1","LOC4325994"
"XM_015759013.2","LOC4325995"
"XM_015758980.2","LOC4325966"
"XM_015780848.1","LOC107280787"
"XR_001542392.2","LOC107279845"
"XM_015765447.2","LOC4325968"
"XM_026022524.1","LOC4325968"
"XM_026023842.1","LOC9269702"
"XM_015791728.2","LOC9269702"
"XM_015771552.2","LOC4325971"
"XM_015788984.2","LOC4325972"
"XM_015790466.2","LOC4325973"
"XM_015765884.2","LOC4325974"
"XM_015765885.2","LOC4325974"
"XM_026022539.1","LOC107278621"
"XM_015766887.2","LOC4325976"
"XM_015776056.2","LOC4325978"
"XM_015766969.2","LOC4325980"
"XM_015761053.2","LOC4325981"
"XM_015769880.2","LOC4325792"
"XM_015769892.2","LOC4325793"
"XM_015767326.2","LOC4325794"
"XM_015790587.2","LOC4325796"
"unassigned_transcript_4","TRNAT-AGU"
"XM_015790733.2","LOC4325798"
"XM_015773706.2","LOC4325799"
"XM_015773717.2","LOC4325800"
"XM_015773727.2","LOC4325800"
"XM_015763119.2","LOC9268514"
"XR_001541836.2","LOC4325801"
"XR_001541833.2","LOC4325801"
"XM_015763136.2","LOC4325801"
"XR_003240375.1","LOC112937711"
"XM_015770499.2","LOC4325802"
"XM_015788761.2","LOC4325803"
"XM_015766265.2","LOC4325804"
"XM_015766266.2","LOC4325804"
"XM_015766267.2","LOC4325804"
"XM_015766318.1","LOC4325805"
"XM_015766316.2","LOC4325805"
"XM_026022572.1","LOC4325805"
"XM_015766320.2","LOC4325805"
"XM_015766322.2","LOC107277037"
"XM_015780871.2","LOC4325806"
"unassigned_transcript_5","TRNAF-GAA"
"XM_015779316.2","LOC4325808"
"XM_026022575.1","LOC9268840"
"XM_015765414.2","LOC4325687"
"XM_015769934.2","LOC4325688"
"XM_015786160.2","LOC4325689"
"XM_015771242.2","LOC4325690"
"XR_001544195.2","LOC9270186"
"XM_015765485.2","LOC4325693"
"XM_015765497.2","LOC4325694"
"XM_015768986.2","LOC4325695"
"XM_015777928.2","LOC4325696"
"XM_015769713.2","LOC4325697"
"XM_015775444.2","LOC4325698"
"XM_015787029.2","LOC4325699"
"XR_003240396.1","LOC112937813"
"XM_015786685.2","LOC4325700"
"XM_015786695.2","LOC4325700"
"XM_015786702.2","LOC4325700"
"XM_015786690.2","LOC4325700"
"XM_026022518.1","LOC112937635"
"XM_015786718.2","LOC9270508"
"XM_026022604.1","LOC112937810"
"XM_026022607.1","LOC107280788"
"XM_026022596.1","LOC4325670"
"XM_015786736.2","LOC4325670"
"XM_026022600.1","LOC4325670"
"XM_015786748.2","LOC107276391"
"XM_026022519.1","LOC107278584"
"XM_026022592.1","LOC4325673"
"XR_003240397.1","LOC107281247"
"XR_001542599.2","LOC9269282"
"XM_026022520.1","LOC107276971"
"XM_015780903.1","LOC107280790"
"XM_015766257.2","LOC4325680"
"XM_026022617.1","LOC4325680"
"XR_003240416.1","LOC112937819"
"XM_015766255.2","LOC4325681"
"XM_015777421.2","LOC4325682"
"XM_015777366.2","LOC4325683"
"XM_015765489.2","LOC4325684"
"XM_015765491.2","LOC4325684"
"XM_015765490.2","LOC4325684"
"XM_015765488.1","LOC4325471"
"XM_015786824.2","LOC4325472"
"XM_015760918.2","LOC4325473"
"XM_015777335.2","LOC4325474"
"XM_015777344.2","LOC4325474"
"XM_015786868.2","LOC9270987"
"XM_015771108.2","LOC4325476"
"XM_015768709.2","LOC4325477"
"XM_015765983.2","LOC4325478"
"XM_026022678.1","LOC107277455"
"XR_001542672.2","LOC107279875"
"XR_003241909.1","LOC107279875"
"XM_015766773.2","LOC4325479"
"XM_015765883.2","LOC4325480"
"XM_026022688.1","LOC107275709"
"XM_015786999.2","LOC107275709"
"XM_015766762.2","LOC4325481"
"XM_015766761.2","LOC4325481"
"XM_015766759.2","LOC4325482"
"XM_015757609.2","LOC4325484"
"XM_015757621.2","LOC4325486"
"XM_015757626.2","LOC4325486"
"XM_015757635.2","LOC4325486"
"XM_015757642.2","LOC4325486"
"XM_015757664.2","LOC4325487"
"XM_015757654.2","LOC107277065"
"XM_015780915.1","LOC4325452"
"unassigned_transcript_6","TRNAD-GUC"
"XM_015766331.2","LOC4325454"
"XM_015762794.2","LOC4325456"
"XM_015762812.2","LOC4325456"
"XM_015762786.2","LOC4325456"
"XM_015762803.2","LOC4325456"
"XR_003240446.1","LOC112937828"
"XR_003240320.1","LOC112937652"
"XR_003240318.1","LOC112937646"
"XM_015766429.2","LOC4325457"
"XM_026022710.1","LOC4325457"
"XM_026022712.1","LOC4325457"
"XM_015766430.2","LOC4325457"
"XM_015766431.2","LOC4325458"
"XM_015780927.1","LOC4325459"
"XM_015791045.2","LOC4325461"
"XM_015756731.2","LOC4325462"
"XM_015756749.2","LOC4325464"
"XM_015756741.1","LOC4325464"
"XM_015756772.2","LOC4325465"
"XM_015756760.2","LOC4325466"
"XM_015756716.2","LOC4325467"
"unassigned_transcript_7","TRNAL-CAG"
"XM_015789726.2","LOC107275681"
"XM_015768326.2","LOC107276927"
"XM_015768338.2","LOC4325469"
"XM_015774660.1","LOC4325470"
"XR_003240470.1","LOC107279564"
"XR_003240471.1","LOC107279564"
"XR_003240468.1","LOC107279564"
"XR_003240462.1","LOC107279564"
"XR_001541828.2","LOC107279564"
"XR_003240464.1","LOC107279564"
"XR_003240467.1","LOC107279564"
"XM_026022735.1","LOC107279564"
"XR_003240473.1","LOC9272059"
"XR_003240474.1","LOC9272059"
"XR_003240472.1","LOC9272059"
"XM_015762912.2","LOC9272059"
"XM_015791711.2","LOC107277997"
"XR_001544293.2","LOC4325203"
"XR_001544291.2","LOC4325203"
"XM_015773982.2","LOC4325203"
"XM_015792686.2","LOC107276225"
"XR_001544918.2","LOC107280502"
"XR_001544219.2","LOC9270286"
"XR_001544265.2","LOC9272216"
"XM_015791917.2","LOC107276625"
"XM_015765920.2","LOC4325206"
"XM_015765921.2","LOC9266563"
"XR_001542470.2","LOC4325208"
"XM_026022760.1","LOC4325208"
"XM_026022759.1","LOC4325208"
"XM_015765924.2","LOC4325208"
"XM_026022765.1","LOC4325208"
"XM_015780944.2","LOC9271871"
"XM_015766573.2","LOC4325209"
"XM_015766019.2","LOC4325210"
"XM_015766020.2","LOC4325210"
"XM_015766021.2","LOC4325211"
"XM_026022774.1","LOC4325212"
"XM_015795317.2","LOC4325212"
"XM_015768140.2","LOC4325213"
"XM_015767157.2","LOC4325215"
"XM_026022785.1","LOC4325216"
"XM_015766832.2","LOC4325216"
"XM_015791824.2","LOC4325217"
"XM_015789619.2","LOC112936087"
"XM_015789487.2","LOC9270751"
"XM_015789479.2","LOC9270751"
"XM_015789463.2","LOC9270751"
"XM_026022796.1","LOC9270751"
"XM_026022791.1","LOC9270751"
"XM_015789612.2","LOC4324510"
"XM_026022798.1","LOC4324511"
"XM_026022807.1","LOC4324511"
"XM_026022806.1","LOC4324511"
"XM_026022805.1","LOC4324511"
"XM_015789493.2","LOC4324511"
"XM_026022799.1","LOC4324511"
"XM_015789601.2","LOC4324512"
"XM_015789629.2","LOC4325218"
"XM_026022817.1","LOC4324515"
"XM_026022819.1","LOC4324515"
"XM_026022809.1","LOC4324515"
"XM_026022811.1","LOC4324515"
"XM_015789564.2","LOC4324515"
"XM_026022815.1","LOC4324515"
"XM_026022810.1","LOC4324515"
"XM_015789573.2","LOC4324515"
"XM_015766473.2","LOC4324516"
"XM_026022828.1","LOC112936069"
"XM_026022837.1","LOC4324517"
"XM_015765712.2","LOC107277374"
"XM_015765713.2","LOC107277374"
"XM_026022841.1","LOC4324520"
"XM_015780258.2","LOC107280763"
"XM_026022831.1","LOC4324521"
"XM_026022832.1","LOC4324521"
"XM_026022824.1","LOC4324522"
"XM_015769415.2","LOC4324522"
"XM_015765957.2","LOC4324523"
"XM_015785082.2","LOC4324524"
"XM_015785165.2","LOC4324524"
"XM_015763202.2","LOC4324525"
"XM_015774093.2","LOC4324526"
"XM_015783910.2","LOC4324527"
"XM_015772644.2","LOC4324493"
"XM_015780968.2","LOC107277572"
"XM_015774346.2","LOC9270198"
"XM_015766910.2","LOC4324494"
"XM_026022871.1","LOC112937853"
"XM_026022875.1","LOC4324495"
"XM_015766911.2","LOC4324495"
"XM_015772772.2","LOC4324496"
"XM_026022865.1","LOC4324496"
"XM_026022867.1","LOC4324496"
"XM_026022864.1","LOC4324496"
"XM_015765939.2","LOC4324497"
"XM_015765757.2","LOC4324499"
"XM_015765758.2","LOC4324500"
"XM_015768901.2","LOC9268949"
"XM_015766108.2","LOC4324501"
"XM_015766109.2","LOC4324502"
"XM_026022889.1","LOC4324503"
"XM_026022888.1","LOC4324503"
"XM_015766342.2","LOC4324503"
"XM_015766317.2","LOC4324503"
"XM_015766310.2","LOC4324503"
"XM_026022886.1","LOC4324503"
"XM_015766333.2","LOC4324503"
"XM_015766325.2","LOC4324503"
"XM_015766302.2","LOC4324503"
"XM_015761669.2","LOC4324504"
"XM_015766987.2","LOC4324505"
"XM_026025803.1","LOC4324506"
"XM_026022556.1","LOC107276705"
"XM_015781020.1","LOC4324508"
"XM_015781033.2","LOC107276711"
"XR_001545321.1","LOC4324509"
"XM_015781044.2","LOC107276786"
"XM_026022521.1","LOC107276642"
"XM_015776414.2","LOC4324072"
"XM_015776401.2","LOC4324073"
"XM_015776367.2","LOC4324074"
"XM_015776378.2","LOC4324074"
"XM_015766112.2","LOC4324077"
"XM_015766122.2","LOC107278078"
"XM_026022899.1","LOC107275903"
"XM_015766101.2","LOC107276713"
"XM_015765881.2","LOC4324078"
"XM_015765882.2","LOC4324078"
"XM_015763035.2","LOC4324079"
"XM_015763046.1","LOC4324080"
"XM_015763041.2","LOC4324080"
"XM_015779184.2","LOC4324081"
"XM_015790515.2","LOC4324082"
"XM_015786923.2","LOC4324083"
"XM_015793749.2","LOC107275326"
"XM_015792499.2","LOC4324084"
"XM_015791867.2","LOC107281783"
"XM_026022922.1","LOC112937859"
"XM_015766051.2","LOC4324085"
"XM_015766050.2","LOC107278339"
"XM_015766053.2","LOC4324086"
"XM_015766052.2","LOC4324087"
"XM_015763744.2","LOC4324088"
"XM_015763758.2","LOC4324089"
"XM_015763752.2","LOC4324053"
"XM_015774767.2","LOC4324055"
"XM_015774700.2","LOC4324055"
"XM_015774525.2","LOC4324056"
"XM_015768286.2","LOC4324057"
"XM_015781056.2","LOC107277190"
"XM_015766196.2","LOC4324058"
"XM_015766197.2","LOC4324059"
"XM_015765482.2","LOC4324060"
"XR_001542397.2","LOC4324061"
"XM_015765481.2","LOC4324061"
"XM_026022934.1","LOC4324062"
"XM_015766684.2","LOC4324062"
"XM_015773901.1","LOC4324064"
"XM_015767676.2","LOC4324065"
"XM_015759775.2","LOC4324066"
"XM_015789833.2","LOC4324067"
"XM_026022938.1","LOC4324067"
"XM_026022522.1","LOC107275840"
"XM_015775512.2","LOC9268594"
"XM_015771325.2","LOC4324068"
"XM_026022944.1","LOC107280193"
"XM_026022946.1","LOC112937862"
"XM_015771771.2","LOC4324069"
"XM_026022949.1","LOC112936121"
"XM_026022947.1","LOC4324405"
"XM_026022951.1","LOC107280255"
"XR_003240565.1","LOC112937863"
"XM_015766477.2","LOC107277838"
"XR_003240317.1","LOC4324407"
"XM_015766478.2","LOC107278768"
"XM_026022964.1","LOC107278768"
"XM_026022959.1","LOC112936132"
"XM_026022958.1","LOC112937864"
"XM_015781100.2","LOC4324409"
"XM_015769454.2","LOC107277018"
"XM_015769361.2","LOC4324411"
"XM_015781115.1","LOC107277403"
"XM_026022523.1","LOC107280797"
"XM_015781131.1","LOC107275496"
"XM_015781145.1","LOC107275519"
"XM_015781159.1","LOC107275525"
"XM_015781170.1","LOC107275335"
"XM_015788939.1","LOC107276967"
"XM_015788313.2","LOC107277338"
"XM_015786881.2","LOC107277412"
"XR_001542384.2","LOC4324412"
"XR_001542387.2","LOC4324412"
"XR_001542388.2","LOC4324412"
"XR_001542389.2","LOC4324412"
"XR_001542390.2","LOC4324412"
"XR_001542385.2","LOC4324412"
"XR_001542386.2","LOC4324412"
"XR_001542383.2","LOC4324412"
"XM_015765410.2","LOC4324412"
"XM_015765409.2","LOC4324412"
"XM_015765408.2","LOC4324413"
"XM_015771194.2","LOC4324414"
"XM_015771201.2","LOC4324414"
"XM_015765703.2","LOC4324415"
"XM_015767295.2","LOC4324417"
"XM_026022968.1","LOC4324417"
"XM_015767271.2","LOC4324417"
"XM_015767288.2","LOC4324417"
"XM_015767279.2","LOC4324417"
"XM_015767255.2","LOC4324417"
"XM_015767247.2","LOC4324417"
"XM_015767302.2","LOC4324417"
"XM_026022985.1","LOC4324418"
"XM_015765852.2","LOC4327135"
"XR_003240699.1","LOC112937870"
"XR_003240701.1","LOC112937870"
"XM_026022991.1","LOC4327136"
"XM_015767540.2","LOC4327136"
"XM_015789138.2","LOC107277399"
"XM_026022525.1","LOC112937636"
"XM_015766018.2","LOC4327138"
"XM_026022526.1","LOC112937637"
"XM_015766498.2","LOC4327139"
"XM_015766499.2","LOC107276328"
"XM_015766500.2","LOC107276328"
"XM_026022994.1","LOC107276328"
"XM_015766501.2","LOC9267411"
"XM_015766504.2","LOC9267411"
"XM_015766502.2","LOC9267411"
"XM_015766503.2","LOC9267411"
"XM_015778821.2","LOC4327143"
"unassigned_transcript_8","TRNAS-UGA"
"XM_015765196.2","LOC4327145"
"XM_026023007.1","LOC4327145"
"XM_015765184.2","LOC4327146"
"XR_001542342.2","LOC107279810"
"XM_026022527.1","LOC107278774"
"XM_015773505.2","LOC4325182"
"XM_015773514.2","LOC4325182"
"XM_015773522.2","LOC4325182"
"XM_015764178.1","LOC4325183"
"XM_015764188.2","LOC107276245"
"XM_015764152.2","LOC9272035"
"XM_015764159.2","LOC9272035"
"XM_015764163.2","LOC9272035"
"XM_015764137.2","LOC9272035"
"XM_015764145.2","LOC9272035"
"XM_015764168.2","LOC9272035"
"XM_015764122.2","LOC9272035"
"XM_015784535.2","LOC9268026"
"XM_015784331.2","LOC4325185"
"XM_026023019.1","LOC4325185"
"XM_015784414.2","LOC4325185"
"XM_015766881.2","LOC4325186"
"XM_026023037.1","LOC4325186"
"XM_015766889.2","LOC4325186"
"XM_015765448.1","LOC4325188"
"XM_015765449.1","LOC4325188"
"XM_015769531.2","LOC4325189"
"XM_015766084.2","LOC4325190"
"XM_015766083.2","LOC4325191"
"XM_015765484.2","LOC4325192"
"XM_015765486.2","LOC4325192"
"XM_015765487.2","LOC4325192"
"XM_015765483.2","LOC4325193"
"unassigned_transcript_9","TRNAC-GCA"
"XM_015770403.2","LOC4325195"
"XM_015790228.2","LOC107278035"
"XM_015788478.2","LOC107278734"
"XR_003243273.1","LOC112939558"
"XM_026023062.1","LOC4325196"
"XM_015792520.2","LOC4325196"
"XM_015792510.1","LOC4325197"
"XM_015792564.2","LOC4325198"
"XM_015792555.2","LOC4325198"
